Região/Unidade da Federação,Rede,IDEB 2005,IDEB 2007,IDEB 2009,IDEB 2011,IDEB 2013,IDEB 2015,IDEB 2017,IDEB 2019,IDEB 2021
Norte,Total,3.0,3.4,3.8,4.2,4.3,4.7,4.9,5.0,5.0
Norte,Pública,2.9,3.3,3.8,4.2,4.3,4.7,4.9,5.0,5.0
Norte,Privada,5.5,5.6,5.9,6.1,6.1,6.4,6.8,6.8,6.6
Norte,Estadual,3.2,3.6,4.2,4.5,4.7,5.0,5.4,5.5,5.5
Rondônia,Total,3.6,4.0,4.3,4.7,5.2,5.4,5.8,5.6,5.4
Rondônia,Pública,3.5,3.9,4.3,4.6,5.1,5.3,5.7,5.5,5.3
Rondônia,Privada,5.7,5.7,0.0,6.4,6.5,6.8,7.2,6.8,6.7
Rondônia,Estadual,3.6,4.0,4.4,4.7,5.4,5.7,6.1,5.7,5.6
Acre,Total,3.4,3.8,4.3,4.6,5.1,5.4,5.8,5.9,5.5
Acre,Pública,3.3,3.7,4.2,4.5,5.0,5.3,5.7,5.8,5.4
Acre,Privada,5.7,6.0,0.0,6.2,6.7,7.1,7.4,7.3,7.3
Acre,Estadual,3.3,3.8,4.5,4.7,5.2,5.5,6.1,6.2,5.7
Amazonas,Total,3.1,3.6,3.9,4.3,4.7,5.2,5.4,5.5,5.4
Amazonas,Pública,2.9,3.4,3.8,4.2,4.5,5.0,5.3,5.3,5.3
Amazonas,Privada,5.5,5.7,0.0,6.2,6.3,6.7,7.0,7.0,7.0
Amazonas,Estadual,3.3,3.9,4.5,4.8,5.1,5.5,5.8,5.8,5.9
Roraima,Total,3.7,4.1,4.3,4.7,5.0,5.2,5.5,5.7,5.5
Roraima,Pública,3.6,4.1,4.2,4.5,4.8,5.1,5.4,5.5,5.3
Roraima,Privada,6.1,5.9,0.0,6.6,6.8,6.8,7.1,7.2,6.8
Roraima,Estadual,3.5,3.5,4.2,4.5,4.8,5.1,0.0,0.0,0.0
Pará,Total,2.8,3.1,3.6,4.2,4.0,4.5,4.7,4.9,4.9
Pará,Pública,2.7,3.0,3.6,4.0,3.8,4.3,4.5,4.7,4.8
Pará,Privada,5.5,5.5,0.0,5.9,5.9,6.1,6.5,6.7,6.4
Pará,Estadual,2.8,2.8,3.7,4.0,3.6,4.2,4.5,5.0,5.0
Amapá,Total,3.2,3.4,3.8,4.1,4.0,4.5,4.6,4.9,4.9
Amapá,Pública,3.0,3.3,3.8,4.0,3.9,4.3,4.4,4.7,4.7
Amapá,Privada,4.9,5.3,0.0,6.1,6.1,6.4,6.8,6.9,6.6
Amapá,Estadual,3.1,3.0,3.6,3.9,3.8,4.4,4.5,4.8,4.6
Tocantins,Total,3.5,4.1,4.5,4.9,5.1,5.1,5.6,5.6,5.3
Tocantins,Pública,3.4,4.0,4.4,4.8,5.0,5.0,5.4,5.5,5.1
Tocantins,Privada,5.6,5.7,0.0,6.5,6.7,6.7,7.3,7.1,7.1
Tocantins,Estadual,3.6,4.2,4.5,4.9,5.1,5.0,5.8,5.8,5.5
Nordeste,Total,2.9,3.5,3.8,4.2,4.3,4.8,5.1,5.4,5.3
Nordeste,Pública,2.7,3.3,3.7,4.0,4.1,4.6,4.9,5.2,5.1
Nordeste,Privada,5.4,5.5,5.8,6.0,6.2,6.3,6.5,6.6,6.6
Nordeste,Estadual,2.9,3.3,3.7,3.9,4.1,4.5,4.7,5.0,5.0
Maranhão,Total,2.9,3.7,3.9,4.1,4.1,4.6,4.8,5.0,5.0
Maranhão,Pública,2.7,3.5,3.7,3.9,3.8,4.4,4.5,4.8,4.7
Maranhão,Privada,4.9,5.3,5.5,5.8,6.0,6.1,6.5,6.4,6.5
Maranhão,Estadual,3.2,3.3,4.0,4.0,4.2,4.3,4.1,3.9,4.1
Piauí,Total,2.8,3.5,4.0,4.4,4.5,4.9,5.3,5.7,5.6
Piauí,Pública,2.6,3.3,3.8,4.1,4.1,4.6,5.0,5.4,5.3
Piauí,Privada,5.4,5.7,5.8,6.3,6.6,6.6,6.8,7.0,7.1
Piauí,Estadual,2.6,3.2,3.8,4.1,4.5,4.6,5.5,6.0,6.1
Ceará,Total,3.2,3.8,4.4,4.9,5.2,5.9,6.2,6.4,6.3
