Ano,Unidade Geográfica,Localização,Dependência Administrativa,Aprovação,Reprovação,Abandono
2011.0,BRASIL,Total,Total,90.5,7.8,1.7
2011.0,BRASIL,Total,Publico,89.5,8.6,1.9
2011.0,BRASIL,Total,Particular,97.7,2.2,0.1
2011.0,BRASIL,Total,Municipal,88.8,9.1,2.1
2011.0,BRASIL,Total,Federal,94.5,5.1,0.4
2011.0,BRASIL,Total,Estadual,91.6,6.9,1.5
2011.0,BRASIL,Rural,Total,85.4,11.2,3.4
2011.0,BRASIL,Rural,Publico,85.3,11.3,3.4
2011.0,BRASIL,Rural,Particular,94.6,4.8,0.6
2011.0,BRASIL,Rural,Municipal,85.2,11.4,3.4
2011.0,BRASIL,Rural,Federal,90.0,10.0,0.0
2011.0,BRASIL,Rural,Estadual,87.2,9.3,3.5
2011.0,BRASIL,Urbana,Total,91.6,7.0,1.4
2011.0,BRASIL,Urbana,Publico,90.6,7.9,1.5
2011.0,BRASIL,Urbana,Particular,97.7,2.2,0.1
2011.0,BRASIL,Urbana,Municipal,90.0,8.3,1.7
2011.0,BRASIL,Urbana,Federal,94.5,5.1,0.4
2011.0,BRASIL,Urbana,Estadual,91.9,6.7,1.4
2011.0,NORTE,Total,Total,86.9,9.6,3.5
2011.0,NORTE,Total,Publico,86.1,10.1,3.8
2011.0,NORTE,Total,Particular,97.9,2.0,0.1
2011.0,NORTE,Total,Municipal,85.2,10.6,4.2
2011.0,NORTE,Total,Federal,94.1,5.9,0.0
2011.0,NORTE,Total,Estadual,88.6,8.8,2.6
2011.0,NORTE,Rural,Total,81.3,12.7,6.0
2011.0,NORTE,Rural,Publico,81.3,12.7,6.0
2011.0,NORTE,Rural,Particular,89.1,10.3,0.6
2011.0,NORTE,Rural,Municipal,81.2,12.6,6.2
2011.0,NORTE,Rural,Federal,0.0,0.0,0.0
2011.0,NORTE,Rural,Estadual,81.5,12.9,5.6
2011.0,NORTE,Urbana,Total,89.5,8.2,2.3
2011.0,NORTE,Urbana,Publico,88.6,8.8,2.6
2011.0,NORTE,Urbana,Particular,98.0,1.9,0.1
2011.0,NORTE,Urbana,Municipal,88.0,9.2,2.8
2011.0,NORTE,Urbana,Federal,94.1,5.9,0.0
2011.0,NORTE,Urbana,Estadual,89.7,8.1,2.2
