Ano,Unidade Geográfica,Localização,Dependência Administrativa,Aprovação,Reprovação,Abandono
2019,Brasil,Total,Total,94.7,4.7,0.6
2019,Brasil,Urbana,Total,95.7,3.8,0.5
2019,Brasil,Rural,Total,88.8,9.4,1.8
2019,Brasil,Total,Federal,96.2,3.5,0.3
2019,Brasil,Urbana,Federal,96.2,3.5,0.3
2019,Brasil,Rural,Federal,100.0,0.0,0.0
2019,Brasil,Total,Estadual,95.4,4.1,0.5
2019,Brasil,Urbana,Estadual,95.8,3.7,0.5
2019,Brasil,Rural,Estadual,89.7,8.6,1.7
2019,Brasil,Total,Municipal,93.5,5.7,0.8
2019,Brasil,Urbana,Municipal,94.7,4.7,0.6
2019,Brasil,Rural,Municipal,88.7,9.5,1.8
2019,Brasil,Total,Privada,98.8,1.1,0.1
2019,Brasil,Urbana,Privada,98.9,1.1,0.0
2019,Brasil,Rural,Privada,96.8,3.1,0.1
2019,Brasil,Total,Pública,93.8,5.4,0.8
2019,Brasil,Urbana,Pública,94.9,4.5,0.6
2019,Brasil,Rural,Pública,88.8,9.5,1.7
2019,Norte,Total,Total,88.9,9.3,1.8
2019,Norte,Urbana,Total,92.4,6.6,1.0
2019,Norte,Rural,Total,80.9,15.4,3.7
2019,Norte,Total,Federal,96.5,3.1,0.4
2019,Norte,Urbana,Federal,96.5,3.1,0.4
2019,Norte,Rural,Federal,0.0,0.0,0.0
2019,Norte,Total,Estadual,91.4,7.6,1.0
2019,Norte,Urbana,Estadual,92.5,6.8,0.7
2019,Norte,Rural,Estadual,84.9,12.2,2.9
2019,Norte,Total,Municipal,87.3,10.5,2.2
2019,Norte,Urbana,Municipal,91.3,7.5,1.2
2019,Norte,Rural,Municipal,80.5,15.7,3.8
2019,Norte,Total,Privada,98.8,1.2,0.0
2019,Norte,Urbana,Privada,98.9,1.0,0.1
2019,Norte,Rural,Privada,90.6,9.2,0.2
2019,Norte,Total,Pública,88.0,10.0,2.0
2019,Norte,Urbana,Pública,91.6,7.3,1.1
2019,Norte,Rural,Pública,80.9,15.4,3.7
2019,Nordeste,Total,Total,92.6,6.4,1.0
2019,Nordeste,Urbana,Total,93.6,5.4,1.0
2019,Nordeste,Rural,Total,89.7,8.8,1.5
2019,Nordeste,Total,Federal,100.0,0.0,0.0
2019,Nordeste,Urbana,Federal,100.0,0.0,0.0
2019,Nordeste,Rural,Federal,100.0,0.0,0.0
2019,Nordeste,Total,Estadual,87.9,10.2,1.9
2019,Nordeste,Urbana,Estadual,89.2,9.3,1.5
2019,Nordeste,Rural,Estadual,82.3,14.4,3.3
2019,Nordeste,Total,Municipal,91.3,7.4,1.3
2019,Nordeste,Urbana,Municipal,92.1,6.7,1.2
2019,Nordeste,Rural,Municipal,89.8,8.7,1.5
2019,Nordeste,Total,Privada,98.5,1.3,0.2
2019,Nordeste,Urbana,Privada,98.6,1.3,0.1
2019,Nordeste,Rural,Privada,96.8,3.0,0.2
2019,Nordeste,Total,Pública,91.2,7.5,1.3
2019,Nordeste,Urbana,Pública,92.0,6.8,1.2
2019,Nordeste,Rural,Pública,89.7,8.9,1.4
2019,Sudeste,Total,Total,97.6,2.2,0.2
2019,Sudeste,Urbana,Total,97.7,2.1,0.2
2019,Sudeste,Rural,Total,95.6,4.1,0.3
2019,Sudeste,Total,Federal,95.7,4.0,0.3
2019,Sudeste,Urbana,Federal,95.7,4.0,0.3
2019,Sudeste,Rural,Federal,0.0,0.0,0.0
2019,Sudeste,Total,Estadual,99.3,0.4,0.3
2019,Sudeste,Urbana,Estadual,99.3,0.4,0.3
2019,Sudeste,Rural,Estadual,98.3,1.4,0.3
2019,Sudeste,Total,Municipal,96.6,3.1,0.3
2019,Sudeste,Urbana,Municipal,96.7,3.0,0.3
2019,Sudeste,Rural,Municipal,95.2,4.5,0.3
2019,Sudeste,Total,Privada,99.0,1.0,0.0
2019,Sudeste,Urbana,Privada,99.0,1.0,0.0
2019,Sudeste,Rural,Privada,98.3,1.7,0.0
2019,Sudeste,Total,Pública,97.3,2.5,0.2
2019,Sudeste,Urbana,Pública,97.4,2.3,0.3
2019,Sudeste,Rural,Pública,95.5,4.2,0.3
2019,Sul,Total,Total,95.3,4.4,0.3
2019,Sul,Urbana,Total,95.4,4.3,0.3
2019,Sul,Rural,Total,94.7,5.0,0.3
2019,Sul,Total,Federal,95.7,4.3,0.0
2019,Sul,Urbana,Federal,95.7,4.3,0.0
2019,Sul,Rural,Federal,0.0,0.0,0.0
2019,Sul,Total,Estadual,90.9,8.6,0.5
2019,Sul,Urbana,Estadual,90.8,8.7,0.5
2019,Sul,Rural,Estadual,91.3,8.1,0.6
2019,Sul,Total,Municipal,95.9,3.8,0.3
2019,Sul,Urbana,Municipal,95.9,3.8,0.3
2019,Sul,Rural,Municipal,95.5,4.3,0.2
2019,Sul,Total,Privada,99.0,1.0,0.0
2019,Sul,Urbana,Privada,99.0,1.0,0.0
2019,Sul,Rural,Privada,99.2,0.8,0.0
2019,Sul,Total,Pública,94.8,4.9,0.3
2019,Sul,Urbana,Pública,94.8,4.9,0.3
2019,Sul,Rural,Pública,94.7,5.0,0.3
2019,Centro-Oeste,Total,Total,96.4,3.3,0.3
2019,Centro-Oeste,Urbana,Total,96.6,3.2,0.2
2019,Centro-Oeste,Rural,Total,94.2,4.9,0.9
2019,Centro-Oeste,Total,Federal,98.4,1.6,0.0
2019,Centro-Oeste,Urbana,Federal,98.4,1.6,0.0
2019,Centro-Oeste,Rural,Federal,0.0,0.0,0.0
2019,Centro-Oeste,Total,Estadual,94.9,4.7,0.4
2019,Centro-Oeste,Urbana,Estadual,95.0,4.7,0.3
2019,Centro-Oeste,Rural,Estadual,94.5,4.7,0.8
2019,Centro-Oeste,Total,Municipal,96.2,3.4,0.4
2019,Centro-Oeste,Urbana,Municipal,96.5,3.2,0.3
2019,Centro-Oeste,Rural,Municipal,94.0,5.0,1.0
2019,Centro-Oeste,Total,Privada,99.3,0.7,0.0
2019,Centro-Oeste,Urbana,Privada,99.3,0.7,0.0
2019,Centro-Oeste,Rural,Privada,96.7,3.3,0.0
2019,Centro-Oeste,Total,Pública,95.8,3.8,0.4
2019,Centro-Oeste,Urbana,Pública,96.0,3.7,0.3
