Ano,Unidade Geográfica,Localização,Dependência Administrativa,Aprovação,Reprovação,Abandono
2020,Brasil,Total,Total,98.5,0.7,0.8
2020,Brasil,Urbana,Total,98.7,0.6,0.7
2020,Brasil,Rural,Total,97.7,1.1,1.2
2020,Brasil,Total,Federal,99.7,0.1,0.2
2020,Brasil,Urbana,Federal,99.7,0.1,0.2
2020,Brasil,Rural,Federal,100.0,0.0,0.0
2020,Brasil,Total,Estadual,98.5,1.0,0.5
2020,Brasil,Urbana,Estadual,98.7,0.9,0.4
2020,Brasil,Rural,Estadual,95.7,1.9,2.4
2020,Brasil,Total,Municipal,98.7,0.7,0.6
2020,Brasil,Urbana,Municipal,98.9,0.6,0.5
2020,Brasil,Rural,Municipal,97.9,1.0,1.1
2020,Brasil,Total,Privada,98.0,0.6,1.4
2020,Brasil,Urbana,Privada,98.0,0.6,1.4
2020,Brasil,Rural,Privada,97.2,1.5,1.3
2020,Brasil,Total,Pública,98.6,0.7,0.7
2020,Brasil,Urbana,Pública,98.8,0.6,0.6
2020,Brasil,Rural,Pública,97.7,1.1,1.2
2020,Norte,Total,Total,97.4,1.0,1.6
2020,Norte,Urbana,Total,98.2,0.8,1.0
2020,Norte,Rural,Total,95.6,1.7,2.7
2020,Norte,Total,Federal,100.0,0.0,0.0
2020,Norte,Urbana,Federal,100.0,0.0,0.0
2020,Norte,Rural,Federal,0.0,0.0,0.0
2020,Norte,Total,Estadual,97.7,0.9,1.4
2020,Norte,Urbana,Estadual,98.9,0.7,0.4
2020,Norte,Rural,Estadual,90.7,2.1,7.2
2020,Norte,Total,Municipal,97.4,1.1,1.5
2020,Norte,Urbana,Municipal,98.2,0.8,1.0
2020,Norte,Rural,Municipal,96.0,1.7,2.3
2020,Norte,Total,Privada,97.3,0.6,2.1
2020,Norte,Urbana,Privada,97.3,0.6,2.1
2020,Norte,Rural,Privada,96.4,3.4,0.2
2020,Norte,Total,Pública,97.5,1.1,1.4
2020,Norte,Urbana,Pública,98.3,0.8,0.9
2020,Norte,Rural,Pública,95.6,1.7,2.7
2020,Nordeste,Total,Total,98.0,0.6,1.4
2020,Nordeste,Urbana,Total,98.0,0.5,1.5
2020,Nordeste,Rural,Total,98.2,0.9,0.9
2020,Nordeste,Total,Federal,98.4,0.0,1.6
2020,Nordeste,Urbana,Federal,98.2,0.0,1.8
2020,Nordeste,Rural,Federal,100.0,0.0,0.0
2020,Nordeste,Total,Estadual,98.8,0.6,0.6
2020,Nordeste,Urbana,Estadual,99.4,0.2,0.4
2020,Nordeste,Rural,Estadual,95.8,2.8,1.4
2020,Nordeste,Total,Municipal,98.5,0.6,0.9
2020,Nordeste,Urbana,Municipal,98.6,0.5,0.9
2020,Nordeste,Rural,Municipal,98.3,0.8,0.9
2020,Nordeste,Total,Privada,95.9,0.8,3.3
2020,Nordeste,Urbana,Privada,95.9,0.8,3.3
2020,Nordeste,Rural,Privada,95.8,1.8,2.4
2020,Nordeste,Total,Pública,98.5,0.6,0.9
2020,Nordeste,Urbana,Pública,98.7,0.5,0.8
2020,Nordeste,Rural,Pública,98.3,0.9,0.8
2020,Sudeste,Total,Total,99.1,0.4,0.5
2020,Sudeste,Urbana,Total,99.2,0.4,0.4
2020,Sudeste,Rural,Total,98.8,0.6,0.6
2020,Sudeste,Total,Federal,99.8,0.2,0.0
2020,Sudeste,Urbana,Federal,99.8,0.2,0.0
2020,Sudeste,Rural,Federal,0.0,0.0,0.0
2020,Sudeste,Total,Estadual,99.2,0.3,0.5
2020,Sudeste,Urbana,Estadual,99.1,0.3,0.6
2020,Sudeste,Rural,Estadual,99.2,0.1,0.7
2020,Sudeste,Total,Municipal,99.2,0.4,0.4
2020,Sudeste,Urbana,Municipal,99.2,0.4,0.4
2020,Sudeste,Rural,Municipal,98.7,0.6,0.7
2020,Sudeste,Total,Privada,99.0,0.5,0.5
2020,Sudeste,Urbana,Privada,99.0,0.5,0.5
2020,Sudeste,Rural,Privada,99.0,0.7,0.3
2020,Sudeste,Total,Pública,99.2,0.4,0.4
2020,Sudeste,Urbana,Pública,99.2,0.4,0.4
2020,Sudeste,Rural,Pública,98.7,0.6,0.7
2020,Sul,Total,Total,99.0,0.8,0.2
2020,Sul,Urbana,Total,99.0,0.9,0.1
2020,Sul,Rural,Total,99.2,0.7,0.1
2020,Sul,Total,Federal,100.0,0.0,0.0
2020,Sul,Urbana,Federal,100.0,0.0,0.0
2020,Sul,Rural,Federal,0.0,0.0,0.0
2020,Sul,Total,Estadual,98.0,1.9,0.1
2020,Sul,Urbana,Estadual,97.9,2.0,0.1
2020,Sul,Rural,Estadual,98.6,1.1,0.3
2020,Sul,Total,Municipal,99.2,0.6,0.2
2020,Sul,Urbana,Municipal,99.2,0.6,0.2
2020,Sul,Rural,Municipal,99.3,0.5,0.2
2020,Sul,Total,Privada,99.5,0.4,0.1
2020,Sul,Urbana,Privada,99.5,0.4,0.1
2020,Sul,Rural,Privada,98.4,1.6,0.0
2020,Sul,Total,Pública,99.0,0.9,0.1
2020,Sul,Urbana,Pública,98.9,0.9,0.2
2020,Sul,Rural,Pública,99.2,0.7,0.1
2020,Centro-Oeste,Total,Total,98.2,1.5,0.3
2020,Centro-Oeste,Urbana,Total,98.3,1.5,0.2
2020,Centro-Oeste,Rural,Total,97.6,1.9,0.5
2020,Centro-Oeste,Total,Federal,0.0,0.0,0.0
2020,Centro-Oeste,Urbana,Federal,0.0,0.0,0.0
2020,Centro-Oeste,Rural,Federal,0.0,0.0,0.0
2020,Centro-Oeste,Total,Estadual,97.3,2.5,0.2
2020,Centro-Oeste,Urbana,Estadual,97.4,2.5,0.1
2020,Centro-Oeste,Rural,Estadual,96.4,3.4,0.2
2020,Centro-Oeste,Total,Municipal,98.4,1.3,0.3
2020,Centro-Oeste,Urbana,Municipal,98.4,1.3,0.3
2020,Centro-Oeste,Rural,Municipal,98.1,1.4,0.5
2020,Centro-Oeste,Total,Privada,99.1,0.4,0.5
2020,Centro-Oeste,Urbana,Privada,99.1,0.4,0.5
2020,Centro-Oeste,Rural,Privada,99.4,0.6,0.0
2020,Centro-Oeste,Total,Pública,98.0,1.7,0.3
2020,Centro-Oeste,Urbana,Pública,98.1,1.7,0.2
2020,Centro-Oeste,Rural,Pública,97.6,1.9,0.5
